id,name,mission,logoURL,baseLocations,x,discord,application,tags
cryptocity,Cryptocity,"To build a community of entrepreneurs using blockchain technology on Margarita Island, Venezuela.",cryptocity.png,Venezuela,,,https://cryptocity.land/reservations/,Geographic
coco,CoCo,To create a comprehensive global co-living community for digital nomads.,coco.png,Global,,,https://cocohub.io/join,Hybrid
our-world,Our World ,"To create an immersive, educational, and entertaining platform",our-world.png,UK,https://x.com/OurWorldTheGame,,https://www.ourworldthegame.com/,Virtual
build-republic,build_republic,Building a protocol for startup cities,build-republic.png,Global,https://x.com/buildcities,,https://app.buildcities.network/,Hybrid
ciudad-morazan,Ciudad Morazan,"To create a safe, self-sustaining, and business-friendly community that offers industrial, residential, and commercial spaces with all necessary services and amenities.",ciudad-morazan.png,Honduras,https://x.com/ciudadmorazan1,,https://www.morazan.city/contact/,Geographic
corenexus,CoreNexus,To build a decentralized 4D social operating system and gamify regenerative impact,,Global,,,https://corenexus.is/,
future-state,Future state,"To create media and educational programs that transform futuristic concepts into practical realities, particularly in nation-building",future-state.png,Global,https://x.com/futurestate_tv,,https://t.me/futurestate_hall,Virtual
anothernation,AnotherNation,"To create global, unique physical spaces (embassies)",anothernation.png,Global,https://x.com/another__nation,,https://www.anothernation.xyz/,Hybrid
epoch-island,Epoch Island,"To create a network state by 2030 that offers a decentralized, self-governing community.",epoch-island.png,Global,https://x.com/EpochIsland,,https://epochisland.io/waitlist/,Ideological
urbit,Urbit,"To create a new decentralized computing platform where users have complete ownership and control over their data, identities, and services.",urbit.png,Global,https://x.com/urbit,,https://urbit.org/get-started,Hybrid
liberstad,Liberstad,"To build a free city based on voluntary interactions, freedom, and mutual respect.",liberstad.png,Norway,https://x.com/liberstad,,https://www.liberstad.com/,Geographic
metropolis-global,Metropolis Global,Connect global citizens with international government services.,metropolis-global.png,"USA,Global",https://x.com/metropolishub,,https://www.youtube.com/watch?v=3fpbR_q6Ukw,Geographic
world-community-network,World Community Network,To create a blueprint for a new world of harmony and abundance through collective action and global connectivity.,world-community-network.png,USA,https://x.com/brentnhunter,,https://worldcommunitynetwork.org/,Ideological
zuzalu,Zuzalu,To create a pop-up city that fosters innovation and cultural exchange.,zuzalu.png,Montenegro,https://x.com/Zuzalu_city,,https://zuzalu.gitbook.io/zuzalu-beta-docs/integration/join-for-integration-collaboration-research-and-development,Hybrid
forma-city,Forma City,"To build Solana Economic Zones (SEZs) around the world, bridging web3 economy with national economies.",forma-city.png,Global,https://x.com/formacity,,https://forma.city/apply,Ideological
panarmenian,Panarmenian,To unite Armenians worldwide to build a prosperous and free Armenia,panarmenian.png,"Armenia,Global",https://x.com/ArmNetworkState,,https://networkstate.io/join-us/,Hybrid
free-republic-of-verdis,Free Republic of Verdis,"To establish a sovereign state with democratic values, environmental consciousness, and ethnic reconciliation.",free-republic-of-verdis.png,"Croatia,Serbia",https://x.com/verdisgov,,https://verdisgov.org/services/e-residency/,Hybrid
4seas-io,4seas.io,To create a crypto nomad start-up society that integrates crypto technology and innovative societal practices.,4seas-io.png,Thailand,https://x.com/4seasdesoc,,https://www.newnationproject.org/,Hybrid
nomad-nation,Nomad Nation,"To create decentralized living spaces for digital nomads, providing flexibility and freedom in accommodation.",nomad-nation.png,"Honduras,USA",https://x.com/NOMADcoliving,,https://nomadnation.co/black-1,Hybrid
prospera,Próspera,Building a startup city on Honduras' Roatan Island,prospera.png,"Honduras,Global",https://x.com/prosperaglobal,,https://www.prospera.co/en/visit,Geographic
next-gen-village,Next Gen Village,To create a Village of the Future,next-gen-village.png,Switzerland,,,https://www.nextgenvillage.com/about,Geographic
moondao,MoonDAO,"To fund, collaborate, and compete on challenges that get us closer to a lunar settlement.",moondao.png,Global,https://x.com/OfficialMoonDAO,,https://moondao.com/citizen,Virtual
blue-frontier,Blue Frontier,"To build the first seastead, creating a floating city with innovative governance and sustainable living.",blue-frontier.png,French Polynesia,https://x.com/seasteading,,https://www.seasteading.org/get-involved/,Hybrid
palestra,Palestra,To curate digital inputs and transform them into physical outcomes that shape the future through model governance.,palestra.png,El Salvador,https://x.com/PalestraSociety,,https://www.palestrasociety.com/join,Ideological
wera-global,WERA Global,"To unite cultures and networks through human-centric AI, delivering services while upholding human rights.",wera-global.png,Global,https://x.com/wera_global,,https://www.wera.global/virtual-visa,Ideological
immortalis,Immortalis,To build a new society governed by the Prime Law,immortalis.png,Global,https://x.com/realmarkhamiltn,,https://immortalis.mn.co/sign_up?from=https%3A%2F%2Fimmortalis.mn.co%2F%3Fautojoin%3D1&space_id=17126770,Ideological
netx-state,Netx State, To create a network of regenerative nodes across all bioregions of Argentina,netx-state.png,Argentina,https://x.com/NetxState,,https://www.netxstate.com/en/contact,Hybrid
0asis,0ASIS,To build the first network state on Bitcoin fostering a highly aligned online community with collective action. ,,Global,https://x.com/build0ASIS,,https://0asis.gitbook.io/0asis,Ideological
loci,Loci,To create a network of micro-communities,loci.png,USA,,,https://locilife.com/product/limited-edition-membership-enrollment/,Hybrid
cohere,Cohere,To create a global network of coliving communities,cohere.png,"Antigua,Ecuador,Brazil,Global",https://x.com/coherenetwork,,https://www.cohere.network/membership/belong,Geographic
montelibero,Montelibero,"To build a libertarian society in Europe, starting with Montenegro, focused on freedom and minimal state intervention.",montelibero.png,Montenegro,https://x.com/MonteliberoFSPE,,https://montelibero.org/2024/02/25/faq_how-to-participate-in-montelibero-remotely/,Geographic
the-spacers-guild,The Spacers Guild,To grow public consensus around the imperatives of outer space settlements,,USA,https://x.com/SpacersGuild,,https://www.spacersguild.org/take-action,Hybrid
atlas-island,Atlas Island,To create a floating city-state that upholds individual sovereignty and the non-aggression principle.,atlas-island.png,Global,https://x.com/AtlasIsland_,,https://atlasisland.org/join.php,Hybrid
liberland,Liberland,To create a new libertarian country based on personal and economic freedom.,liberland.png,"Croatia,Serbia",https://x.com/liberland_org,,https://sso.liberland.org/signup,Geographic
isla-de-lobos,Isla de LOBOS,To establish a decentralized and 100% sustainable community through the L.O.B.O.S. DAO,isla-de-lobos.png,Uruguay,https://x.com/isladelobos,,https://isladelobos.xyz/#about,Geographic
league-of-free-cities,League of Free Cities,Support localized autonomy of present and aspiring Free Cities.,league-of-free-cities.png,Global,,,https://form.fillout.com/t/gPJBTGq98Aus,Virtual
closer,Closer,Pioneer the future of regenerative living through technology.,closer.png,Global,https://x.com/closerearth,,team@closer.earth,Virtual
sri-lanka-startup-zone,Sri Lanka Startup Zone,Unlock the potential of Sri Lanka for human flourishing.,sri-lanka-startup-zone.png,Sri Lanka,,,https://form.fillout.com/t/w5D5rYy1Y4us,Geographic
black-sky-society,Black Sky Society,Hack the matrix of subquantum reality.,black-sky-society.png,Global,https://x.com/BlackSkySociety,,https://postweb.nexus/raw/rad:z2fNbaEJvctMicPrHGryuRkXH37sz/head/get-involved.html ,
freedom-haven,Freedom Haven,Bring prosperity of free markets to liberty immigrants.,freedom-haven.png,Global,https://x.com/haven_freedom,,https://freedomhaven.org/,
network-state-genesis,Network State Genesis,Establish a network state with a multiplanetary focus.,network-state-genesis.png,Global,https://x.com/genesisdotre,,https://planetarycouncil.org/,Ideological
gelephu-mindfulness-city,Gelephu Mindfulness City,Integrate economic growth with mindfulness and sustainability.,gelephu-mindfulness-city.png,Bhutan,https://x.com/gelephumindcity,,https://gmc.bt/engage/,Pop-Up City
city-of-atlantus,City of Atlantus,To create a virtual and real city that integrates industry and community.,city-of-atlantus.png,Global,https://x.com/OloSears,,https://app.coa.build/,Virtual
vdao,VDAO,"To create a decentralized, community-driven venture capital fund that democratizes access to investment opportunities.",vdao.png,Global,https://x.com/joinvdao,,https://manifesto.vdao.io/manifesto,Ideological
lumina,Lumina,"To build a city grounded in direct democracy, empowering residents to participate in decision-making and shape their future.",lumina.png,Global,https://x.com/luminagov,,https://lumina.earth/citizenship,Virtual
metastate,Metastate,"To advance blockchain technology through research and development, focusing on protocol development, architecture, cryptography, and programming languages.",metastate.png,Switzerland,https://x.com/metastate_union,,https://www.metastate.is/,Virtual
freeth-m,Freeth'm,"To create decentralized, self-sufficient towns for individuals seeking freedom and privacy.",freeth-m.png,"Portugal,Spain,Global",https://x.com/Freethmtowns/,,https://www.freethm.com/contact-customers-form,Geographic
edge-esmeralda,Edge Esmeralda,A month-long gathering for people building a brighter future,edge-esmeralda.png,"USA,Global",https://x.com/EdgeEsmeralda,,https://edgecity.simplefi.tech/auth,Pop-Up City
the-assemblage,The Assemblage,To offer spaces where members can experience the highest version of themselves. ,the-assemblage.png,USA,https://x.com/AssemblageNYC,,https://linktr.ee/theassemblagenyc,Hybrid
kleros,Kleros,To democratize access to justice using cutting-edge technologies. ,kleros.png,France,https://x.com/kleros_io?,,https://court.kleros.io/,Ideological
yourjustice,YourJustice,"To create a fairer world by enabling individuals to establish virtual jurisdictions based on shared values, enforced by code.",yourjustice.png,"Turkey,Global",https://x.com/YourJusticeLife,,https://www.yourjustice.life/#join-us,Hybrid
internet-nation,Internet Nation,"To enhance the power of communities by providing tools for creation, coordination, funding, and value defense.",internet-nation.png,Global,https://x.com/worldofIN,,https://internetnation.org/,Virtual
vibe-camp,Vibe Camp,To foster friendships and perpetuate play in a world that systemically squashes both,vibe-camp.png,"USA,Global",https://x.com/vibecamp_,,https://vibe.camp/events/,Geographic
tamera,Tamera,"To empower people worldwide to build a regenerative, nonviolent culture",tamera.png,Portugal,,,https://www.tamera.org/engage-donate/,Geographic
the-neighborhood,The Neighborhood,To build a pipeline that creates squads of lifelong friends by curating containers from which strong groups emerge.,,USA,,,https://airtable.com/appthPsVispMIeK3a/pag5uWZnt3CxrIXxK/form,Geographic
auravana,Auravana,To design a new social system based on sustainability and resource management,auravana.png,Global,https://x.com/TrvsGrant,,https://auravana.org/what-we-do/contribution-procedures/,Geographic
aleph-citadel,Aleph Citadel,To create a decentralized society and innovation hub,aleph-citadel.png,Argentina,https://x.com/AlephCitadel,,https://alephcitadel.com/,Ideological
fractally,Fractally,To create decentralized governance models and tools,fractally.png,Global,https://x.com/gofractally,,https://fractally.com/,Ideological
free-gallaecia,Free Gallaecia,"Provide a safe, affordable, and libertarian-friendly haven in Northwest Iberia for those seeking freedom.",,"Spain,Portugal",,,https://freegallaecia.org/,Geographic
sovs-xyz,sovs.xyz,Enable individuals to declare personal sovereignty on-chain.,sovs-xyz.png,Global,,,http://sovs.xyz/,Ideological
free-madeira,FREE Madeira,Promote Madeira as a hub for Bitcoin and blockchain innovation.,free-madeira.png,Portugal,https://x.com/FREEMadeiraOrg,,https://www.freemadeira.com/contact,
catawba-cdez,Catawba (CDEZ),To create a regulatory framework that supports digital entrepreneurs and innovation in emerging technologies.,catawba-cdez.png,USA,https://x.com/CatawbaDEZ,,https://app.catawbadigital.zone/,
avalon,Avalon,"Foster personal development, independence, and freedom from societal constraints.",avalon.png,Switzerland,,,https://modelhof.com/index.html,
uzupis,Užupis,"To create a space for freedom, creativity, and self-expression.",uzupis.png,Lithuania,https://x.com/uzupis,,https://www.uzupiorespublika.com/en/citizenship/,
principato-di-seborga,Principato di Seborga,"Maintain and protect Seborga’s cultural identity, sovereignty, and independence.",principato-di-seborga.png,Italy,https://x.com/PrincSeborga,,https://www.principatodiseborga.com/en,
sealand,Sealand,"Establish and maintain Sealand as an independent, sovereign state with a focus on freedom.",sealand.png,"UK,Global",https://x.com/sealandgov,,https://sealandgov.org/en-as/pages/sealand-e-citizenship?_gl=1*1l3ri6s*_up*MQ..*_ga*MjA3NDI4NDcxMS4xNzM4MjgzNjU2*_ga_9J7Z9TB08H*MTczODI4MzY1My4xLjAuMTczODI4MzY1My4wLjAuMA..,
asgardia,Asgardia,"Establish a peaceful, independent nation in space for the benefit of all humanity.",asgardia.png,Global,https://x.com/AsgardiaSpace,,https://asgardia.space/en/page/resident-card,
principality-of-islandia,Principality of Islandia,Make island ownership accessible to all through crowdfunding and community involvement.,principality-of-islandia.png,Belize,https://x.com/LetsBuyAnIsland,,https://letsbuyanisland.com/become-a-lord-or-lady/,
joseon,Joseon,Introduce a sovereign cyber nation with a legal framework for personal interest corporations (Denizens).,joseon.png,Global,https://x.com/joseon_empire,,https://www.joseon.com/l/en-US/login,
viva-city,Viva City,To build a city focused on longevity and advanced medicine.,viva-city.png,USA,https://x.com/JoinVivaCity,,https://join.cityofviva.com/,Pop-Up City
embassy-network,Embassy Network,To create place-based communities experimenting with new forms of governance and solidarity.,embassy-network.png,"USA,Costa Rica,Spain,Germany,Puerto Rico,Canada",https://x.com/EmbassyNetwork,,https://embassynetwork.com/,Hybrid
zuitzerland,Zuitzerland,"To develop decentralized leadership models, create an integrated network society, and apply defensive accelerationism principles. ",zuitzerland.png,Switzerland,https://x.com/zuitzerland,,https://blocksurvey.io/zuitzerland-2025-application-form-Zs7vnCSsQwSyG1qAGRNVWw?v=o,Pop-Up City
network-school,Network School,"A startup society for tech founders, AI creators, and remote workers.",network-school.png,Singapore-Johor Special Economic Zone,https://x.com/balajis,,https://ns.com/apply,"Geographic,Ideological"
zu-grama,Zu-Grama,To catapult India's innovation ecosystem by connecting local talent with international experts and investors,zu-grama.png,India,https://x.com/ZuGramaIndia,,https://docs.google.com/forms/d/e/1FAIpQLSc_3i_wopy0YxWLqn58C8I-0iKLPrXRF5l0c_t6r1cHLV7lCw/viewform,Pop-Up City
aleph-3,Aleph 3,To catalyze crypto-enabled solutions addressing economic challenges and fuel innovation in Argentina.,aleph-3.png,Argentina,https://x.com/intent/user?screen_name=crecimientoar,,https://airtable.com/appENuebGSKMB5sia/pagvzrYUDDQAxMN43/form,Pop-Up City
vitalist-bay,Vitalist Bay,To bring together the world's leading minds to extend human healthspan and address aging.,vitalist-bay.png,USA,https://x.com/VitalistBay,,https://apply.vitalistbay.com/,Pop-Up City
bloom-city,Bloom City,To establish positive entertainment and organic collaboration to transform societal perceptions of aging,bloom-city.png,USA,https://x.com/JellyfishDAO,,https://form.jotform.com/242383937439064,Pop-Up City
illuminateddao,IlluminatedDAO,To bring the power of web3 to governments​,illuminateddao.png,USA,https://x.com/IlluminatedDAO,,https://linktr.ee/Illuminateddao,Virtual
the-anthem-initiative,The Anthem Initiative,Found a new sovereign capitalist state based on Ayn Rand's philosophy,the-anthem-initiative.png,Global,https://x.com/Anthemism_PR,,https://anthemism.org/,Ideological
avocado-nation,Avocado Nation,An internet native builder nation focused on coordination experimentation and creating new forms of communities,[https://avocadonation.xyz/_next/image?url=%2Favocado.png&w=1080&q=75,Global,https://x.com/ameen_ai,,https://avocadonation.xyz/,Ideological](https://avocadonation.xyz/_next/image?url=%2Favocado.png&w=1080&q=75,Global,https://x.com/ameen_ai,,https://avocadonation.xyz/,Ideological)

